model,phase,exp_type,time_s
ConvLSTM,train,,333.84
ConvLSTM,infer,bias,2.37
ConvLSTM,infer,drift,2.29
ConvLSTM,train,,401.39
ConvLSTM,infer,bias,2.38
ConvLSTM,infer,drift,2.32
ConvLSTM,train,,289.49
ConvLSTM,infer,bias,2.81
ConvLSTM,infer,drift,2.45
ConvLSTM,train,,283.03
ConvLSTM,infer,bias,2.54
ConvLSTM,infer,drift,2.46
ConvLSTM,train,,315.58
ConvLSTM,infer,bias,2.59
ConvLSTM,infer,drift,2.67
ConvLSTM,train,,303.50
model_4,infer,bias,2.39
model_4,infer,drift,2.48
ConvLSTM,train,,278.56
ConvLSTM,infer,bias,2.34
ConvLSTM,infer,drift,2.34
